"Trader","Hypurrscan"
"UnRektCapital","https://hypurrscan.io/address/0x007d76eec0ba411ce873a8819df50dd443d967a0#perps"
"UG3_SwingTrader","https://hypurrscan.io/address/0x00897e2d7168165b81558c3cd9257efb007f2410#perps"
"High Risk Short bias","https://hypurrscan.io/address/0x02f8edb1b741e2c60788c002b42135b370f01068#perps"
"♤♤♤","https://hypurrscan.io/address/0x049bdc370620beab340b01072fa580fd57745e7d#perps"
"onchaincutie.eth","https://hypurrscan.io/address/0x068c53aafbfeb51bf1e75b88f16af22b448f8e8c#perps"
"Manifold Trading","https://hypurrscan.io/address/0x091144e651b334341eabdbbbfed644ad0100023e#perps"
"0x0fea9","https://hypurrscan.io/address/0x0fea9d1fe4daabd49927766130739e9eedca5a5e#perps"
"falconx_3","https://hypurrscan.io/address/0x17f6ef86d43b0cedca8a214fa36a961c3c7f5c3e#perps"
"bigdestiny","https://hypurrscan.io/address/0x183d0567c33e7591c22540e45d2f74730b42a0ca#perps"
"DegenDev","https://hypurrscan.io/address/0x19f9815c4b3a920f17a20cdc743a0c910c7bca21#perps"
"HiZoupOr","https://hypurrscan.io/address/0x1f5bbef0722b6188b87b29dff530d6cfb5a46967#perps"
"ççç","https://hypurrscan.io/address/0x271ce82149c67fae0d2a39571707f382fe425014#perps"
"Library_Onchain_1","https://hypurrscan.io/address/0x28473085ba4aa761eb541914f50a75dd685cd47b#perps"
"degendeuck_spot","https://hypurrscan.io/address/0x2bf39a1004ff433938a5f933a44b8dad377937f6#perps"
"Falconx_3","https://hypurrscan.io/address/0x2cafd066aaccaf83325780573ac79a47b06b3bf9#perps"
"ez-gg.eth","https://hypurrscan.io/address/0x2d86499a410a9ac2139833ba8d6942b8a8700a7b#perps"
"TopTickCrypto","https://hypurrscan.io/address/0x2fcc020f72e5d2edd2a24d04f3dc90d7fdfbd1dd#perps"
"BlockchainBrah","https://hypurrscan.io/address/0x32fb3402b683609396d803c51fad73f5f6edd113#perps"
"trollwhale","https://hypurrscan.io/address/0x36ccdef4decfa6ae89707b1737e8fc56d275414f#perps"
"ImBallzy","https://hypurrscan.io/address/0x39c3492e9171872eac6a99d9c0b6dbae5d4ae959#perps"
"Tumilett","https://hypurrscan.io/address/0x47d312c7604b1751f691011aed4ce32231bff4d1#perps"
"CryptoCondom","https://hypurrscan.io/address/0x48ec0004494081e8332589faf0747d568da79faf#perps"
"CJCJJC","https://hypurrscan.io/address/0x4bd883055bd502e7ab58a88da4854194373beeb5#perps"
"0xSotiris","https://hypurrscan.io/address/0x57b6d465312899ef2890b97a3a6b21530c937c5e#perps"
"Tag Capital","https://hypurrscan.io/address/0x5f94a51948d2376ad34a6fadfa2544e651b74b96#perps"
"High Risk Good Profit","https://hypurrscan.io/address/0x61ceef212ff4a86933c69fb6aca2fe35d8f2a62b#perps"
